"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 21:28:47 GMT 2023","Fri Apr 14 21:28:49 GMT 2023","1456","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Fri Apr 14 21:28:51 GMT 2023","Fri Apr 14 21:28:52 GMT 2023","1491","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","Get ages from table test","We compare ages from table with test data."
"passed","Fri Apr 14 21:29:01 GMT 2023","Fri Apr 14 21:29:03 GMT 2023","2284","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","Delete account test","User delete account on Profile subpage."
"passed","Fri Apr 14 21:28:59 GMT 2023","Fri Apr 14 21:29:00 GMT 2023","732","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"failed","Fri Apr 14 21:28:58 GMT 2023","Fri Apr 14 21:28:59 GMT 2023","1491","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Fri Apr 14 21:28:52 GMT 2023","Fri Apr 14 21:28:54 GMT 2023","1440","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","Get names from table test","We compare names from table with txt file."
"passed","Fri Apr 14 21:28:56 GMT 2023","Fri Apr 14 21:28:58 GMT 2023","1403","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","Counting post titles test","We count the posts on the Blonde site."
"passed","Fri Apr 14 21:28:44 GMT 2023","Fri Apr 14 21:28:47 GMT 2023","3284","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"failed","Fri Apr 14 21:28:55 GMT 2023","Fri Apr 14 21:28:56 GMT 2023","1580","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","comparePostTitlesWithTxtTest","Checking post titles test","We check the post titles in a txt file."
"passed","Fri Apr 14 21:29:03 GMT 2023","Fri Apr 14 21:29:05 GMT 2023","1862","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","Modify profile data test","User modify profile data on Profile subpage."
"passed","Fri Apr 14 21:28:54 GMT 2023","Fri Apr 14 21:28:55 GMT 2023","1245","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","Registration test","A new user accept Terms&Conditions and register on the site."
"passed","Fri Apr 14 21:29:00 GMT 2023","Fri Apr 14 21:29:01 GMT 2023","431","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialLoginUsingDataFromJSONFile","Sequential Login Using From JSON File Test","Sequential login/logout using data from JSON file."
"failed","Fri Apr 14 21:28:49 GMT 2023","Fri Apr 14 21:28:51 GMT 2023","1959","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","Sending message via Contact form test","User send a message via contact form."
